时间,阶段,政策类型,政策名称,发布机构,核心内容,影响行业,关联技术,影响程度,数据来源
2015-07,政策萌芽期,国家战略,互联网金融发展指导意见,中国人民银行等十部门,鼓励互联网金融创新，规范互联网金融发展，为金融科技发展奠定基础,金融全行业,互联网金融、大数据,高,央行官网
2016-04,政策萌芽期,国际法规,欧盟GDPR通过,欧盟议会,《通用数据保护条例》通过，规定了个人数据保护跨越国界，明确了用户对个人数据的知情权和被遗忘权,全行业,数据安全、隐私保护,高,欧盟官网
2016-09,政策萌芽期,国家战略,G20数字普惠金融高级原则,G20杭州峰会,推动数字普惠金融发展，提升金融服务可得性,金融全行业,数字金融、移动支付,高,G20官网
2017-06,政策萌芽期,监管政策,金融科技(FinTech)发展规划研究,中国人民银行,研究金融科技发展规划，推动金融科技健康发展,金融全行业,金融科技、大数据,中,央行官网
2018-05,政策发展期,国际法规,欧盟GDPR正式生效,欧盟,GDPR正式生效，成为全球最严格的数据保护法规，对跨国企业数据处理提出合规要求,全行业,数据安全、隐私计算,高,欧盟官网
2018-06,政策发展期,国际法规,加州CCPA通过,美国加州,《加州消费者隐私法案》通过，为美国最严格的数据隐私保护法案,全行业,数据安全、隐私保护,中,加州政府官网
2019-08,政策发展期,国家战略,金融科技发展规划(2019-2021年),中国人民银行,强化金融科技应用，推动金融数字化转型，为RPA应用提供政策支持,银行业、证券业、保险业,金融科技、人工智能、RPA,高,央行官网
2019-10,政策发展期,国家战略,信创战略启动,国务院,信息技术应用创新战略启动，推动国产化替代，构建自主IT底层架构,党政机关,国产化、信创生态,高,中国政府网
2020-01,政策发展期,国际法规,加州CCPA正式生效,美国加州,CCPA正式生效，赋予加州消费者数据隐私权利,全行业,数据安全、隐私保护,中,加州政府官网
2021-06,政策发展期,法律法规,数据安全法,全国人大常委会,规范数据处理活动，保障数据安全，对RPA数据处理提出合规要求,全行业,数据安全、隐私计算,高,中国政府网
2021-08,政策发展期,法律法规,个人信息保护法,全国人大常委会,保护个人信息权益，对RPA处理个人信息提出合规要求,全行业,数据安全、隐私保护,高,中国政府网
2021-04,政策发展期,国际法规,欧盟AI法案提案,欧盟委员会,欧盟委员会提出AI法案，构建全球首个全面规范AI的立法框架,全行业,人工智能、AI监管,高,欧盟官网
2022-01,政策发展期,国家战略,金融科技发展规划(2022-2025年),中国人民银行,推动金融数字化转型，强化金融科技应用，为RPA+AI融合发展提供政策支持,银行业、证券业、保险业,金融科技、人工智能、RPA、大数据,高,央行官网
2022-01,政策发展期,国家战略,十四五数字经济发展规划,国务院,推进产业数字化转型，发展数字经济，为RPA应用提供广阔空间,全行业,数字化转型、人工智能,高,中国政府网
2022-09,政策发展期,国家战略,信创2+8+N体系推进,国务院,信创从党政机关(2)扩展到金融、电信等8大关键行业，再到N个行业全面覆盖,党政机关、金融、电信等,国产化、信创生态,高,中国政府网
2023-10,政策深化期,顶层战略,中央金融工作会议,党中央,首次提出金融五篇大文章，将数字金融作为核心方向，为RPA发展提供战略指引,金融全行业,数字金融、科技金融、RPA,高,中国政府网
2023-02,政策深化期,国家战略,数字中国建设整体布局规划,中共中央、国务院,推进数字中国建设，加快数字化转型，为RPA应用提供政策环境,全行业,数字化转型、人工智能,高,中国政府网
2024-03,政策深化期,国际法规,欧盟AI法案正式生效,欧盟,欧盟AI法案正式生效，成为全球首部全面规范AI的立法文件，对金融AI应用提出合规要求,全行业,人工智能、AI监管,高,欧盟官网
2024-05,政策深化期,国家战略,AI+专项行动,国务院国资委,推动AI技术在央企应用，促进AI+RPA融合发展,央企、国企,人工智能、RPA、大模型,高,国资委官网
2024-09,政策深化期,国家战略,信创替代政策(2027目标),国务院,关键产品100%信创替代目标，推动国产RPA厂商发展,央企、国企、金融机构,国产化、信创生态,高,中国政府网
2025-05,政策成熟期,国家战略,加快构建科技金融体制若干政策举措,科技部、央行等七部门,15项科技金融举措，含8000亿元科技创新再贷款，推动RPA在科技金融场景应用,银行业、科技企业,科技金融、RPA、AI,高,央行官网
2025-01,政策成熟期,国际法规,美国AI行动计划,美国白宫,特朗普公布《美国AI行动计划》，以保证美国成为全球AI霸主，涵盖90多项具体行政命令,全行业,人工智能、AI监管,高,美国白宫官网
2025-03,政策成熟期,国家战略,十五五规划建议,中共中央,大力发展科技金融、数字金融等五篇大文章，为RPA+AI协同提供政策依据,金融全行业,数字金融、科技金融、RPA+AI,高,中国政府网
2025-04,政策成熟期,区域政策,安徽省金融科技创新监管工具实施方案,人民银行安徽省分行,构建全流程监管机制，规范RPA应用合规要求，邮储银行上线200余项RPA场景,安徽省金融机构,RPA、金融科技,中,人行安徽分行官网
2025-06,政策成熟期,区域政策,山东省金融数字化转型提升工程,人民银行济南分行,推动金融科技发展规划落地，RPA用于123项金融科技指标自动化评分,山东省金融机构,RPA、数字金融,中,人行济南分行官网
2025-12,政策成熟期,国家战略,信创国产化全面替代倒计时,国务院,2027年全面国产化替代目标进入倒计时，信创产业从政策驱动替代向市场驱动竞争转轨,党政机关、金融、电信等,国产化、信创生态,高,中国政府网
